"cc";"name";"domain";"url";"ori_amp_url";"amp_viewer_url";"amp_cdn_url"
"CA";"Northern BC Business";"northernbcbusiness.com";"http://northernbcbusiness.com/2017/03/30/telus-investing-12-million-in-kitimat-for-fibre-optic-network/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/media-coverage-is-an-illusion-part-3/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/the-cookie-policy-for-the-northern-star/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/how-tablet-computers-changed-the-world/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/be-forever-young-by-joining-the-greenagers/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/think-like-a-lawyer-speak-like-a-judge/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/electric-bikes-sales-surge-gas-prices-increase/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/nose-straightener-nasal-support-beauty-clip/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/print-a-3d-model-of-your-unborn-baby/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/category/sport-and-game-articles-and-trivia/";NULL;NULL;NULL
"CA";"Northern Star";"www.northernstar-online.com";"https://www.northernstar-online.com/more-ufo-reports-from-the-west-kootenays-and-the-south-okanagan/";NULL;NULL;NULL
"CA";"Over the Edge";"overtheedgenewspaper.ca";"http://overtheedgenewspaper.ca/bc-forest-fires-to-make-a-return/";NULL;NULL;NULL
"CA";"Over the Edge";"overtheedgenewspaper.ca";"http://overtheedgenewspaper.ca/prince-george-picking-sides-on-the-kinder-morgan-pipeline-buyout/";NULL;NULL;NULL
"CA";"Over the Edge";"overtheedgenewspaper.ca";"http://overtheedgenewspaper.ca/summer-students-making-a-difference-two-rivers-gallery/";NULL;NULL;NULL
"CA";"Over the Edge";"overtheedgenewspaper.ca";"http://overtheedgenewspaper.ca/letter-from-the-students-of-the-first-nations-centre/";NULL;NULL;NULL
"CA";"Over the Edge";"overtheedgenewspaper.ca";"http://overtheedgenewspaper.ca/letter-from-the-northern-womens-centre-collective/";NULL;NULL;NULL
"CA";"Over the Edge";"overtheedgenewspaper.ca";"http://overtheedgenewspaper.ca/student-engagement-at-unbc-refocusing-the-issue/";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//photos/iron-ore-classic-bodybuilding-competition-at-vanier-hall-1.2356301";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//entertainment/local-a-e/tapestry-singers-looking-for-new-members-1.23417380";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//photos/the-exploration-place-s-chinese-new-year-fireworks-at-lheidli-t-enneh-memorial-park-1.23178156";NULL;NULL;NULL
"CA";"Prince George Citizen";"www.princegeorgecitizen.com";"http://www.princegeorgecitizen.com//opinion/columnists/getting-into-hot-water-in-iceland-1.23419603";NULL;NULL;NULL
